Book Name,Author,Rating,Customers_Rated,Price
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"18,818",₹277.00
400 Days,Chetan Bhagat,4.3 out of 5 stars,859,₹156.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"26,324",₹475.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"38,119",₹349.00
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"24,292",₹317.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"48,335",₹331.00
Immune: The new book from Kurzgesagt - a gorgeously illustrated deep dive into the immune system,Philipp Dettmer,4.4 out of 5 stars,15,"₹2,114.00"
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"62,647",₹196.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"13,476",₹299.00
Diary of a Wimpy Kid: Big Shot (Book 16),Jeff Kinney,4.8 out of 5 stars,110,₹424.00
As a Man Thinketh,James Allen,4.4 out of 5 stars,"4,872",₹59.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"19,531",₹450.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5 out of 5 stars,"13,671",₹142.00
"Educart CBSE Term 1 Sample Papers Class 10 Bundle of Science, Math Standard, Social Science & English Books For 2022…",Shubham Pathak,4.3 out of 5 stars,118,₹495.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"29,496",₹151.00
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for…",Sudha Murty,4.6 out of 5 stars,"10,090",₹223.56
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.6 out of 5 stars,"5,398",₹629.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.5 out of 5 stars,"53,215",₹307.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.5 out of 5 stars,"35,250",₹193.00
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book…",Maple Press,4.4 out of 5 stars,"1,957",₹149.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"42,545",₹125.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"11,324",₹240.00
"Educart TERM 1 MCQ Question Bank Class 10 Bundle 2022 - Maths, Science, English & SST Books (Based on New MCQs Type…",Educart,4.2 out of 5 stars,740,₹458.00
"My Life in Full: Work, Family, and Our Future (With a special Epilogue for India)",Indra K. Nooyi,4.5 out of 5 stars,214,₹462.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"42,545",₹99.00
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern…,Wonder House Books,4.4 out of 5 stars,"11,819",₹89.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"16,670",₹620.00
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.3 out of 5 stars,"11,455",₹220.00
"Oswaal CBSE Sample Question Paper Class 10 (Set of 4 Books) Science, Social Science, Mathematics Standard, English (For…",Oswaal Editorial Board,4.2 out of 5 stars,118,₹688.00
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"55,803",₹100.00
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.4 out of 5 stars,"2,269",₹499.00
CBSE MCQ Bank Science Class 10 Term 1,www.cbse.online,4.5 out of 5 stars,73,₹379.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"7,240",₹128.00
"Oswaal CBSE MCQs Chapterwise For Term I & II, Class 10 (Set of 3 Books) Mathematics (Standard), Science, Social Science…",Oswaal Editorial Board,4.2 out of 5 stars,399,₹369.00
The Monk Who Sold His Ferrari,Robin Sharma,4.5 out of 5 stars,"17,834",₹164.00
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,4.5 out of 5 stars,"11,589",₹136.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5 out of 5 stars,"28,439",₹474.00
The Richest Man in Babylon,George S. Clason,4.5 out of 5 stars,"22,459",₹99.00
CBSE MCQ Bank Mathematics Class 10 Term 1,www.cbse.online,4.3 out of 5 stars,89,₹399.00
Diamonds in the Dust: Consistent Compounding for Extraordinary Wealth Creation,Saurabh Mukherjea,4.4 out of 5 stars,393,₹297.00
Wuthering Heights,Emily Brontë,4.5 out of 5 stars,"13,754",₹99.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"11,910",₹164.00
The Diary of a Young Girl,Anne Frank,4.6 out of 5 stars,"4,345",₹99.00
